participant_id,prolific_pid,study_id,session_id,experiment_version,timestamp_utc,elapsed_time_ms,trial_index,block_index,trial_in_block,response_time_ms,ici_ms,chosen_option,previous_option,switched,run_length,reward_outcome,points_earned,cumulative_points,vi_a_ms,vi_b_ms,rate_a_per_s,rate_b_per_s,richness_a,richness_b,effective_rate_a_per_s,effective_rate_b_per_s,cod_active,reinforcer_withheld_by_cod,part,physical_context_id,context_color,context_pattern,functional_contingency_id,exposure_number,reversal_stage,trials_since_context_switch,perturbation_active,perturbation_type,perturbation_id,perturbation_repetition,trials_since_perturbation_onset,trials_since_perturbation_offset,page_visible,fullscreen_active,focus_lost_count,browser_width,browser_height,input_method
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-10T10:11:51.927Z,621,0,0,0,0,0,A,,0,1,1,1,1,1600,1600,0.625,0.625,0.6,1,0.375,0.625,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,0,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-10T10:11:52.249Z,944,1,0,1,323,323,A,A,0,2,0,0,1,1600,1600,0.625,0.625,0.4471240170852388,1,0.27945251067827426,0.625,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,1,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-10T10:11:52.444Z,1138,2,0,2,194,194,A,A,0,3,0,0,1,1600,1600,0.625,0.625,0.3206794429520001,1,0.20042465184500008,0.625,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,2,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-10T10:11:52.773Z,1467,3,0,3,329,329,A,A,0,4,0,0,1,1600,1600,0.625,0.625,0.28132729614647645,1,0.17582956009154777,0.625,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,3,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-10T10:11:53.033Z,1728,4,0,4,261,261,A,A,0,5,0,0,1,1600,1600,0.625,0.625,0.23913303992397558,1,0.14945814995248474,0.625,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,4,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-10T10:11:53.415Z,2109,5,0,5,382,382,B,A,1,1,0,0,1,1600,1600,0.625,0.625,0.4108253669463669,0.6,0.2567658543414793,0.375,1,1,practice,neutral,#4A4A4A,plain,symmetric,0,,5,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-10T10:11:53.700Z,2395,6,0,6,285,285,B,B,0,2,0,0,1,1600,1600,0.625,0.625,0.5392684425396277,0.4370658453559565,0.33704277658726733,0.2731661533474728,1,1,practice,neutral,#4A4A4A,plain,symmetric,0,,6,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-10T10:11:54.056Z,2750,7,0,7,355,355,B,B,0,3,1,1,2,1600,1600,0.625,0.625,0.699194277547306,0.3581950082181809,0.43699642346706624,0.22387188013636306,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,7,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-10T10:11:54.365Z,3060,8,0,8,310,310,B,B,0,4,0,0,2,1600,1600,0.625,0.625,0.8385473411047295,0.29852884306536265,0.5240920881904559,0.18658052691585164,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,8,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-10T10:11:54.725Z,3419,9,0,9,359,359,B,B,0,5,0,0,2,1600,1600,0.625,0.625,1,0.27608732816478493,0.625,0.17255458010299057,0,0,practice,neutral,#4A4A4A,plain,symmetric,0,,9,0,,,,,,1,1,0,1440,900,keyboard
