participant_id,prolific_pid,study_id,session_id,experiment_version,is_test,arm,timestamp_utc,elapsed_ms,response_time_ms,trial_index,context_index,trial_in_context,context_color,target_index,target_label,alternatives,target_position,chosen_position,chosen_index,chosen_label,correct,rewarded,points_total,error_disparity,match_shape,match_size,match_orientation,match_hue,navail_shape,navail_size,navail_orientation,navail_hue,advanced_after
69123b3d59a724db57ce3a37,69123b3d59a724db57ce3a37,6aa5e2a1421fd865aae66c6f,eigen-dynamics-1.0.0::69123b3d59a724db57ce3a37::probabilistic::cjit1ojy,eigen-dynamics-1.0.0,0,probabilistic,2026-09-12 23:46:42.734+00,0,36962,0,0,1,#1F3A5F,11,square|small|horizontal|orange,"{11,12,0,1}",0,2,0,circle|large|horizontal|blue,0,0,0,3,0,0,1,0,2,1,3,2,
69123b3d59a724db57ce3a37,69123b3d59a724db57ce3a37,6aa5e2a1421fd865aae66c6f,eigen-dynamics-1.0.0::69123b3d59a724db57ce3a37::probabilistic::cjit1ojy,eigen-dynamics-1.0.0,0,probabilistic,2026-09-12 23:46:44.053+00,1319,960,1,0,2,#1F3A5F,11,square|small|horizontal|orange,"{11,1,6,2}",0,1,1,square|large|horizontal|blue,0,0,0,2,1,0,1,0,2,3,3,1,
69123b3d59a724db57ce3a37,69123b3d59a724db57ce3a37,6aa5e2a1421fd865aae66c6f,eigen-dynamics-1.0.0::69123b3d59a724db57ce3a37::probabilistic::cjit1ojy,eigen-dynamics-1.0.0,0,probabilistic,2026-09-12 23:46:45.181+00,2447,772,2,0,3,#1F3A5F,11,square|small|horizontal|orange,"{2,4,7,11}",3,1,4,circle|large|vertical|blue,0,0,0,4,0,0,0,0,2,3,2,1,
69123b3d59a724db57ce3a37,69123b3d59a724db57ce3a37,6aa5e2a1421fd865aae66c6f,eigen-dynamics-1.0.0::69123b3d59a724db57ce3a37::probabilistic::cjit1ojy,eigen-dynamics-1.0.0,0,probabilistic,2026-09-12 23:46:46.465+00,3731,931,3,0,4,#1F3A5F,11,square|small|horizontal|orange,"{11,1,2,9}",0,3,9,square|large|horizontal|orange,0,0,0,1,1,0,1,1,3,2,4,2,
69123b3d59a724db57ce3a37,69123b3d59a724db57ce3a37,6aa5e2a1421fd865aae66c6f,eigen-dynamics-1.0.0::69123b3d59a724db57ce3a37::probabilistic::cjit1ojy,eigen-dynamics-1.0.0,0,probabilistic,2026-09-12 23:46:47.477+00,4743,653,4,0,5,#1F3A5F,11,square|small|horizontal|orange,"{13,11,12,10}",1,3,10,circle|small|horizontal|orange,0,0,0,1,0,1,1,1,2,2,2,4,
69123b3d59a724db57ce3a37,69123b3d59a724db57ce3a37,6aa5e2a1421fd865aae66c6f,eigen-dynamics-1.0.0::69123b3d59a724db57ce3a37::probabilistic::cjit1ojy,eigen-dynamics-1.0.0,0,probabilistic,2026-09-12 23:46:48.413+00,5680,584,5,0,6,#1F3A5F,11,square|small|horizontal|orange,"{11,1,3,8}",0,3,8,circle|large|horizontal|orange,0,0,0,2,0,0,1,1,3,2,4,2,
69123b3d59a724db57ce3a37,69123b3d59a724db57ce3a37,6aa5e2a1421fd865aae66c6f,eigen-dynamics-1.0.0::69123b3d59a724db57ce3a37::probabilistic::cjit1ojy,eigen-dynamics-1.0.0,0,probabilistic,2026-09-12 23:46:49.377+00,6643,600,6,0,7,#1F3A5F,11,square|small|horizontal|orange,"{3,14,11,9}",2,1,14,circle|small|vertical|orange,0,0,0,2,0,1,0,1,3,3,3,3,
69123b3d59a724db57ce3a37,69123b3d59a724db57ce3a37,6aa5e2a1421fd865aae66c6f,eigen-dynamics-1.0.0::69123b3d59a724db57ce3a37::probabilistic::cjit1ojy,eigen-dynamics-1.0.0,0,probabilistic,2026-09-12 23:46:50.497+00,7764,757,7,0,8,#1F3A5F,11,square|small|horizontal|orange,"{11,4,6,10}",0,1,4,circle|large|vertical|blue,0,0,0,4,0,0,0,0,1,3,2,2,
69123b3d59a724db57ce3a37,69123b3d59a724db57ce3a37,6aa5e2a1421fd865aae66c6f,eigen-dynamics-1.0.0::69123b3d59a724db57ce3a37::probabilistic::cjit1ojy,eigen-dynamics-1.0.0,0,probabilistic,2026-09-12 23:46:51.365+00,8632,506,8,0,9,#1F3A5F,11,square|small|horizontal|orange,"{10,11,6,3}",1,2,6,circle|small|vertical|blue,0,0,0,3,0,1,0,0,2,4,3,2,
69123b3d59a724db57ce3a37,69123b3d59a724db57ce3a37,6aa5e2a1421fd865aae66c6f,eigen-dynamics-1.0.0::69123b3d59a724db57ce3a37::probabilistic::cjit1ojy,eigen-dynamics-1.0.0,0,probabilistic,2026-09-12 23:46:52.313+00,9580,585,9,0,10,#1F3A5F,11,square|small|horizontal|orange,"{13,10,1,11}",3,2,1,square|large|horizontal|blue,0,0,0,2,1,0,1,0,3,2,3,3,
69123b3d59a724db57ce3a37,69123b3d59a724db57ce3a37,6aa5e2a1421fd865aae66c6f,eigen-dynamics-1.0.0::69123b3d59a724db57ce3a37::probabilistic::cjit1ojy,eigen-dynamics-1.0.0,0,probabilistic,2026-09-12 23:46:53.521+00,10787,845,10,0,11,#1F3A5F,11,square|small|horizontal|orange,"{11,10,5,13}",0,0,11,square|small|horizontal|orange,1,1,1,0,1,1,1,1,3,2,2,3,
