participant_id,prolific_pid,study_id,session_id,experiment_version,timestamp_utc,elapsed_time_ms,trial_index,block_index,trial_in_block,response_time_ms,ici_ms,chosen_option,previous_option,switched,run_length,reward_outcome,points_earned,cumulative_points,vi_a_ms,vi_b_ms,rate_a_per_s,rate_b_per_s,richness_a,richness_b,effective_rate_a_per_s,effective_rate_b_per_s,cod_active,reinforcer_withheld_by_cod,part,physical_context_id,context_color,context_pattern,functional_contingency_id,exposure_number,reversal_stage,trials_since_context_switch,perturbation_active,perturbation_type,perturbation_id,perturbation_repetition,trials_since_perturbation_onset,trials_since_perturbation_offset,page_visible,fullscreen_active,focus_lost_count,browser_width,browser_height,input_method
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:24:00.791Z,150,0,0,0,0,0,B,,0,1,0,0,0,1600,1600,0.625,0.625,1,0.94,0.625,0.5874999999999999,0,0,practice,green,#2E7D5B,plain,symmetric,0,,0,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:24:01.266Z,626,1,0,1,476,476,B,B,0,2,0,0,0,1600,1600,0.625,0.625,1,0.9238542844698019,0.625,0.5774089277936262,0,0,practice,green,#2E7D5B,plain,symmetric,0,,1,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:24:01.711Z,1070,2,0,2,444,444,B,B,0,3,1,1,1,1600,1600,0.625,0.625,1,0.9060042838959569,0.625,0.5662526774349731,0,0,practice,green,#2E7D5B,plain,symmetric,0,,2,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:24:01.861Z,1220,3,0,3,150,150,B,B,0,4,0,0,1,1600,1600,0.625,0.625,1,0.8643340268621994,0.625,0.5402087667888746,0,0,practice,green,#2E7D5B,plain,symmetric,0,,3,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:24:02.011Z,1370,4,0,4,150,150,B,B,0,5,0,0,1,1600,1600,0.625,0.625,1,0.8251639852504673,0.625,0.5157274907815421,0,0,practice,green,#2E7D5B,plain,symmetric,0,,4,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:24:02.484Z,1844,5,0,5,474,474,A,B,1,1,0,0,1,1600,1600,0.625,0.625,0.94,0.867807558835455,0.5874999999999999,0.5423797242721594,1,1,practice,green,#2E7D5B,plain,symmetric,0,,5,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:24:02.634Z,1994,6,0,6,150,150,B,A,1,1,0,0,1,1600,1600,0.625,0.625,0.9534999999999999,0.8284291053053277,0.5959374999999999,0.5177681908158298,1,1,practice,green,#2E7D5B,plain,symmetric,0,,6,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:24:03.076Z,2436,7,0,7,442,442,A,B,1,1,0,0,1,1600,1600,0.625,0.625,0.9336750067075975,0.8682003890368145,0.5835468791922485,0.5426252431480091,1,1,practice,green,#2E7D5B,plain,symmetric,0,,7,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:24:03.679Z,3039,8,0,8,603,603,A,A,0,2,0,0,1,1600,1600,0.625,0.625,0.9286813575950018,0.9224842733877296,0.5804258484968762,0.576552670867331,1,1,practice,green,#2E7D5B,plain,symmetric,0,,8,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:24:04.101Z,3461,9,0,9,422,422,B,A,1,1,0,0,1,1600,1600,0.625,0.625,0.9666449225423502,0.9028209680349734,0.6041530765889689,0.5642631050218584,1,1,practice,green,#2E7D5B,plain,symmetric,0,,9,0,,,,,,1,1,0,1440,900,keyboard
