participant_id,prolific_pid,study_id,session_id,experiment_version,timestamp_utc,elapsed_time_ms,trial_index,block_index,trial_in_block,response_time_ms,ici_ms,chosen_option,previous_option,switched,run_length,reward_outcome,points_earned,cumulative_points,vi_a_ms,vi_b_ms,rate_a_per_s,rate_b_per_s,richness_a,richness_b,effective_rate_a_per_s,effective_rate_b_per_s,cod_active,reinforcer_withheld_by_cod,part,physical_context_id,context_color,context_pattern,functional_contingency_id,exposure_number,reversal_stage,trials_since_context_switch,perturbation_active,perturbation_type,perturbation_id,perturbation_repetition,trials_since_perturbation_onset,trials_since_perturbation_offset,page_visible,fullscreen_active,focus_lost_count,browser_width,browser_height,input_method
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:00.197Z,150,0,0,0,0,0,B,,0,1,0,0,0,1600,1600,0.625,0.625,1,1,0.625,0.625,0,0,practice,green,#2E7D5B,plain,symmetric,0,,0,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:00.672Z,626,1,0,1,476,476,B,B,0,2,0,0,0,1600,1600,0.625,0.625,1,1,0.625,0.625,0,0,practice,green,#2E7D5B,plain,symmetric,0,,1,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:01.117Z,1070,2,0,2,444,444,B,B,0,3,1,1,1,1600,1600,0.625,0.625,1,1,0.625,0.625,0,0,practice,green,#2E7D5B,plain,symmetric,0,,2,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:01.267Z,1220,3,0,3,150,150,B,B,0,4,0,0,1,1600,1600,0.625,0.625,1,1,0.625,0.625,0,0,practice,green,#2E7D5B,plain,symmetric,0,,3,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:01.417Z,1370,4,0,4,150,150,B,B,0,5,1,1,2,1600,1600,0.625,0.625,1,1,0.625,0.625,0,0,practice,green,#2E7D5B,plain,symmetric,0,,4,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:01.890Z,1844,5,0,5,474,474,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,5,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:02.040Z,1994,6,0,6,150,150,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,6,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:02.482Z,2436,7,0,7,442,442,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,7,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:03.085Z,3039,8,0,8,603,603,A,A,0,2,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,8,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:03.507Z,3461,9,0,9,422,422,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,9,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:03.964Z,3918,10,0,10,457,457,B,B,0,2,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,10,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:04.527Z,4480,11,0,11,563,563,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,11,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:05.385Z,5339,12,0,12,859,859,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,12,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:05.535Z,5489,13,0,13,150,150,B,B,0,2,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,13,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:05.685Z,5639,14,0,14,150,150,B,B,0,3,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,14,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:06.356Z,6310,15,0,15,671,671,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,15,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:06.596Z,6550,16,0,16,240,240,A,A,0,2,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,16,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:06.746Z,6700,17,0,17,150,150,A,A,0,3,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,17,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:07.341Z,7295,18,0,18,595,595,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,18,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:07.708Z,7661,19,0,19,366,366,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,19,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:07.858Z,7811,20,0,20,150,150,A,A,0,2,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,20,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:08.019Z,7972,21,0,21,161,161,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,21,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:08.475Z,8429,22,0,22,456,456,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,22,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:09.242Z,9195,23,0,23,767,767,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,23,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:10.540Z,10494,24,0,24,1299,1299,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,24,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:10.878Z,10831,25,0,25,337,337,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,25,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:11.694Z,11647,26,0,26,816,816,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,26,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:11.904Z,11857,27,0,27,210,210,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,27,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:12.426Z,12379,28,0,28,522,522,B,B,0,2,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,28,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:12.576Z,12529,29,0,29,150,150,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,29,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:13.039Z,12993,30,0,30,463,463,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,30,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:14.136Z,14090,31,0,31,1097,1097,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,31,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:14.717Z,14671,32,0,32,581,581,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,32,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:14.917Z,14870,33,0,33,199,199,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,33,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:15.067Z,15020,34,0,34,150,150,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,34,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:15.231Z,15185,35,0,35,164,164,B,B,0,2,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,35,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:15.381Z,15335,36,0,36,150,150,B,B,0,3,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,36,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:15.810Z,15764,37,0,37,429,429,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,37,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:15.981Z,15935,38,0,38,171,171,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,38,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:16.131Z,16085,39,0,39,150,150,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,39,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:17.025Z,16979,40,0,40,894,894,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,40,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:17.175Z,17129,41,0,41,150,150,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,41,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:17.325Z,17279,42,0,42,150,150,B,A,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,42,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:17.828Z,17782,43,0,43,503,503,A,B,1,1,0,0,2,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,43,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:19.143Z,19096,44,0,44,1314,1314,A,A,0,2,1,1,3,1600,1600,0.625,0.625,1,1,0.625,0.625,0,0,practice,green,#2E7D5B,plain,symmetric,0,,44,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:19.293Z,19246,45,0,45,150,150,B,A,1,1,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,45,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:19.463Z,19417,46,0,46,171,171,A,B,1,1,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,0,practice,green,#2E7D5B,plain,symmetric,0,,46,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:19.634Z,19587,47,0,47,171,171,B,A,1,1,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,47,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:20.030Z,19984,48,0,48,396,396,A,B,1,1,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,0,practice,green,#2E7D5B,plain,symmetric,0,,48,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:20.445Z,20399,49,0,49,415,415,A,A,0,2,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,49,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:20.675Z,20628,50,0,50,230,230,B,A,1,1,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,50,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:20.825Z,20778,51,0,51,150,150,B,B,0,2,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,51,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:20.975Z,20928,52,0,52,150,150,B,B,0,3,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,52,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:21.280Z,21234,53,0,53,306,306,B,B,0,4,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,53,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:21.430Z,21384,54,0,54,150,150,A,B,1,1,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,54,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:21.773Z,21727,55,0,55,343,343,A,A,0,2,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,55,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:21.923Z,21877,56,0,56,150,150,B,A,1,1,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,56,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:22.150Z,22103,57,0,57,226,226,A,B,1,1,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,57,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:22.300Z,22253,58,0,58,150,150,A,A,0,2,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,58,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:22.703Z,22656,59,0,59,403,403,A,A,0,3,0,0,3,1600,1600,0.625,0.625,1,1,0.625,0.625,1,1,practice,green,#2E7D5B,plain,symmetric,0,,59,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:22.853Z,22806,60,1,0,150,150,A,,0,1,0,0,3,4000,1000,0.25,1,1,1,0.25,1,0,0,reversal,blue,#2E5C8A,stripes,B_rich,1,1,0,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:23.112Z,23065,61,1,1,259,259,B,A,1,1,0,0,3,4000,1000,0.25,1,1,1,0.25,1,1,1,reversal,blue,#2E5C8A,stripes,B_rich,1,1,1,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:23.392Z,23346,62,1,2,280,280,A,B,1,1,0,0,3,4000,1000,0.25,1,1,1,0.25,1,1,0,reversal,blue,#2E5C8A,stripes,B_rich,1,1,2,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:23.688Z,23642,63,1,3,296,296,A,A,0,2,0,0,3,4000,1000,0.25,1,1,1,0.25,1,1,0,reversal,blue,#2E5C8A,stripes,B_rich,1,1,3,0,,,,,,1,1,0,1440,900,keyboard
sim-participant-001,,,sim-participant-001-session,eigen-dynamics-1.0.0,2026-09-09T10:25:23.838Z,23792,64,1,4,150,150,A,A,0,3,0,0,3,4000,1000,0.25,1,1,1,0.25,1,1,0,reversal,blue,#2E5C8A,stripes,B_rich,1,1,4,0,,,,,,1,1,0,1440,900,keyboard
