participant_id,coordinate,min_bin,signal_ratio,usable,chosen_bin,transitions,limited_by
5f89a35824bee7076b6d536c,isA,2.3846831736646106,5.1934291776935355,True,18,44,measurement
5f89a35824bee7076b6d536c,reward_outcome,7.568164111151908,2.32132441278126,True,18,44,measurement
5f89a35824bee7076b6d536c,switched,17.388872203754172,1.5750804240105376,True,18,44,measurement
5f89a35824bee7076b6d536c,logici,0.6572573374337181,16.214740757471517,True,18,44,measurement
60324e0d654dbd21e0e7fa2d,isA,1.8608935399310704,6.373762542251832,True,8,100,measurement
60324e0d654dbd21e0e7fa2d,reward_outcome,7.828172032788495,2.277437434705669,True,8,100,measurement
60324e0d654dbd21e0e7fa2d,switched,6.869407161766605,2.455729696102087,True,8,100,measurement
60324e0d654dbd21e0e7fa2d,logici,0.2661629889837698,38.57096370979582,True,8,100,measurement
681b781064a5701a5ceee3bc,isA,1.9383289322899908,6.159083081005115,True,10,80,measurement
681b781064a5701a5ceee3bc,reward_outcome,9.959957532189712,2.0040203452354968,True,10,80,measurement
681b781064a5701a5ceee3bc,switched,60.533979489229,1.1651964745152652,False,10,80,measurement
681b781064a5701a5ceee3bc,logici,0.6739452756598862,15.837999999641825,True,10,80,measurement
697aa4b8d2b6c1b3b9d7ae2c,isA,1.542703051871734,7.4821288762391305,True,9,88,measurement
697aa4b8d2b6c1b3b9d7ae2c,reward_outcome,5.958601554111835,2.67824613026849,True,9,88,measurement
697aa4b8d2b6c1b3b9d7ae2c,switched,8.445797295611113,2.1840208390031495,True,9,88,measurement
697aa4b8d2b6c1b3b9d7ae2c,logici,1.363973388064399,8.331521338690411,True,9,88,measurement
698078075d3326e1b30bd1c3,isA,1.7719345200119148,6.643549401550549,True,7,114,measurement
698078075d3326e1b30bd1c3,reward_outcome,6.22146418518151,2.6073386750048857,True,7,114,measurement
698078075d3326e1b30bd1c3,switched,103.05691925553054,1.097033756415762,False,7,114,measurement
698078075d3326e1b30bd1c3,logici,3.1931451481188495,4.131708561977276,True,7,114,measurement
699b19eb2744be8e2c9e73ed,isA,1.4124719752139658,8.07978648460276,True,15,53,measurement
699b19eb2744be8e2c9e73ed,reward_outcome,4.513161235071784,3.215741800290666,True,15,53,measurement
699b19eb2744be8e2c9e73ed,switched,14.581083944662524,1.6858200692041518,True,15,53,measurement
699b19eb2744be8e2c9e73ed,logici,2.2845250630316647,5.377277431454204,True,15,53,measurement
69ab872f2dc6e02760face50,isA,1.6194991963801058,7.174748355758333,True,19,42,measurement
69ab872f2dc6e02760face50,reward_outcome,5.278401096391582,2.8945130954212996,True,19,42,measurement
69ab872f2dc6e02760face50,switched,18.17192047652313,1.5502995686625038,True,19,42,measurement
69ab872f2dc6e02760face50,logici,10.948516857042716,1.9133657216381252,True,19,42,measurement
69ed0ecd116ddecaafd2d726,isA,2.5996463085537678,4.846677129537359,True,12,66,measurement
69ed0ecd116ddecaafd2d726,reward_outcome,8.42627151399256,2.1867645118477523,True,12,66,measurement
69ed0ecd116ddecaafd2d726,switched,11.48459667914055,1.8707314918740665,True,12,66,measurement
69ed0ecd116ddecaafd2d726,logici,3.258343800466159,4.0690438493842604,True,12,66,measurement
6a17230d60e2a318a8073ab6,isA,1.8983347843077019,6.267774726915132,True,9,88,measurement
6a17230d60e2a318a8073ab6,reward_outcome,7.799634952266051,2.282111286130727,True,9,88,measurement
6a17230d60e2a318a8073ab6,switched,109.99157821213274,1.0909160515972753,False,9,88,measurement
6a17230d60e2a318a8073ab6,logici,8.902937466880614,2.123224782517064,True,9,88,measurement
6a19b14498b3d36bccc467cb,isA,2.441830915281336,5.0952876537922975,True,7,114,measurement
6a19b14498b3d36bccc467cb,reward_outcome,6.613124448234749,2.512144535956724,True,7,114,measurement
6a19b14498b3d36bccc467cb,switched,4.166861969549253,3.399887510812301,True,7,114,measurement
6a19b14498b3d36bccc467cb,logici,2.400201664422264,5.16631658423878,True,7,114,measurement
6a1e249fc87cc5282b9262b3,isA,1.6688350007341735,6.992204139774563,True,9,88,measurement
6a1e249fc87cc5282b9262b3,reward_outcome,8.665281712440237,2.1540305707134237,True,9,88,measurement
6a1e249fc87cc5282b9262b3,switched,inf,0.9179353652757208,False,9,88,measurement
6a1e249fc87cc5282b9262b3,logici,2.325722281344295,5.299739517574679,True,9,88,measurement
6a43a2cd49feba211cdecf86,isA,2.866090951260861,4.489072806848911,True,20,40,design
6a43a2cd49feba211cdecf86,reward_outcome,11.254481584455867,1.888534929393061,True,20,40,design
6a43a2cd49feba211cdecf86,switched,39.64157929836297,1.2522603835920572,True,20,40,design
6a43a2cd49feba211cdecf86,logici,0.4223711424214896,24.67585991474027,True,20,40,design
6a4407786c0afee02f74e0d0,isA,2.391105683084022,5.182165627703293,True,12,66,measurement
6a4407786c0afee02f74e0d0,reward_outcome,11.588051190352768,1.8629578723577915,True,12,66,measurement
6a4407786c0afee02f74e0d0,switched,inf,0.6866630446314824,False,12,66,measurement
6a4407786c0afee02f74e0d0,logici,2.713695219416247,4.685012203452655,True,12,66,measurement
