participant_id,mean_block,n_responses,logd_fp_rate,operator_fp_rate
5dbcdf38a39098278b46036c,15,4136,45.0,8.0
5dbcdf38a39098278b46036c,30,4136,42.0,3.0
5dbcdf38a39098278b46036c,60,4136,49.0,5.0
5dbcdf38a39098278b46036c,120,4136,46.5,0.5
5f89a35824bee7076b6d536c,15,4136,36.5,7.0
5f89a35824bee7076b6d536c,30,4136,40.0,2.5
5f89a35824bee7076b6d536c,60,4136,47.0,3.0
5f89a35824bee7076b6d536c,120,4136,36.5,2.5
60324e0d654dbd21e0e7fa2d,15,4136,38.5,4.0
60324e0d654dbd21e0e7fa2d,30,4136,46.5,4.0
60324e0d654dbd21e0e7fa2d,60,4136,40.0,2.5
60324e0d654dbd21e0e7fa2d,120,4136,45.0,1.0
650f06d2017a53e840c5af61,15,3952,39.0,7.0
650f06d2017a53e840c5af61,30,3952,46.0,1.5
650f06d2017a53e840c5af61,60,3952,42.0,1.0
650f06d2017a53e840c5af61,120,3952,40.0,1.5
664b8bef90cdb799d4c4c35d,15,4136,38.5,3.0
664b8bef90cdb799d4c4c35d,30,4136,48.0,4.0
664b8bef90cdb799d4c4c35d,60,4136,50.5,2.0
664b8bef90cdb799d4c4c35d,120,4136,49.5,1.0
681b781064a5701a5ceee3bc,15,4136,39.5,5.5
681b781064a5701a5ceee3bc,30,4136,41.5,4.0
681b781064a5701a5ceee3bc,60,4136,44.0,3.0
681b781064a5701a5ceee3bc,120,4136,44.0,1.5
6931bc7a9286300ba24d7703,15,4136,16.5,3.5
6931bc7a9286300ba24d7703,30,4136,23.5,4.0
6931bc7a9286300ba24d7703,60,4136,23.0,6.5
6931bc7a9286300ba24d7703,120,4136,31.0,9.5
697aa4b8d2b6c1b3b9d7ae2c,15,4136,54.0,7.0
697aa4b8d2b6c1b3b9d7ae2c,30,4136,51.0,6.5
697aa4b8d2b6c1b3b9d7ae2c,60,4136,46.5,2.5
697aa4b8d2b6c1b3b9d7ae2c,120,4136,53.5,1.5
698078075d3326e1b30bd1c3,15,4136,42.5,5.0
698078075d3326e1b30bd1c3,30,4136,48.5,3.5
698078075d3326e1b30bd1c3,60,4136,46.0,2.5
698078075d3326e1b30bd1c3,120,4136,41.5,0.5
69825ba5f82e6ac78f401931,15,4136,46.5,7.0
69825ba5f82e6ac78f401931,30,4136,48.0,4.0
69825ba5f82e6ac78f401931,60,4136,50.0,1.5
69825ba5f82e6ac78f401931,120,4136,45.0,0.0
69861227e96662416a5b08ac,15,4136,42.0,6.5
69861227e96662416a5b08ac,30,4136,45.0,4.0
69861227e96662416a5b08ac,60,4136,36.5,3.0
69861227e96662416a5b08ac,120,4136,48.5,1.0
698754c1f51d3f9181f7952b,15,3400,38.0,4.5
698754c1f51d3f9181f7952b,30,3400,44.5,2.5
698754c1f51d3f9181f7952b,60,3400,48.5,3.5
