bin,participant_id,kind,pair,n,cos
3,5dbcdf38a39098278b46036c,same,A1,128,0.6824954098119871
3,5dbcdf38a39098278b46036c,same,B1,128,0.9919415747134309
3,5dbcdf38a39098278b46036c,same,A2,128,0.9840570694385362
3,5dbcdf38a39098278b46036c,same,B2,128,0.9670999308427649
3,5dbcdf38a39098278b46036c,replication,A1vA2,256,0.9581007923012725
3,5dbcdf38a39098278b46036c,replication,B1vB2,256,0.994455252732916
3,5dbcdf38a39098278b46036c,across,A1vB1,256,0.9942575123086532
3,5dbcdf38a39098278b46036c,across,A2vB2,256,0.98570524589158
3,5f89a35824bee7076b6d536c,same,A1,128,0.890745846416152
3,5f89a35824bee7076b6d536c,same,B1,128,0.9477997339949726
3,5f89a35824bee7076b6d536c,same,A2,128,0.26733609109243517
3,5f89a35824bee7076b6d536c,same,B2,128,0.5888319293479137
3,5f89a35824bee7076b6d536c,replication,A1vA2,256,0.8002172480551873
3,5f89a35824bee7076b6d536c,replication,B1vB2,256,0.8849455831835557
3,5f89a35824bee7076b6d536c,across,A1vB1,256,0.974174626125111
3,5f89a35824bee7076b6d536c,across,A2vB2,256,0.9960591860782346
3,60324e0d654dbd21e0e7fa2d,same,A1,128,0.5500804838362409
3,60324e0d654dbd21e0e7fa2d,same,B1,128,0.26548151049646757
3,60324e0d654dbd21e0e7fa2d,same,A2,128,0.951323669275371
3,60324e0d654dbd21e0e7fa2d,same,B2,128,0.9896529038814869
3,60324e0d654dbd21e0e7fa2d,replication,A1vA2,256,0.48305870224785097
3,60324e0d654dbd21e0e7fa2d,replication,B1vB2,256,0.9452841714213682
3,60324e0d654dbd21e0e7fa2d,across,A1vB1,256,0.5942971707581359
3,60324e0d654dbd21e0e7fa2d,across,A2vB2,256,0.9895537300162729
3,650f06d2017a53e840c5af61,same,A1,128,0.9510596990588915
3,650f06d2017a53e840c5af61,same,B1,128,0.9924136623289448
3,650f06d2017a53e840c5af61,same,A2,128,0.8922424518712363
3,650f06d2017a53e840c5af61,same,B2,128,0.958810182374329
3,650f06d2017a53e840c5af61,replication,A1vA2,256,0.9303489977936846
3,650f06d2017a53e840c5af61,replication,B1vB2,256,0.9530154769993804
3,650f06d2017a53e840c5af61,across,A1vB1,256,0.9897255154294201
3,650f06d2017a53e840c5af61,across,A2vB2,256,0.9665974055035464
3,664b8bef90cdb799d4c4c35d,same,A1,128,0.052933063089888543
3,664b8bef90cdb799d4c4c35d,same,B1,128,0.9409978592832734
3,664b8bef90cdb799d4c4c35d,same,A2,128,0.9685263297058426
3,664b8bef90cdb799d4c4c35d,same,B2,128,0.8645147278498452
3,664b8bef90cdb799d4c4c35d,replication,A1vA2,256,0.4327969224494007
3,664b8bef90cdb799d4c4c35d,replication,B1vB2,256,0.9882963596784204
3,664b8bef90cdb799d4c4c35d,across,A1vB1,256,0.3372026283271602
3,664b8bef90cdb799d4c4c35d,across,A2vB2,256,0.9922293896857294
3,681b781064a5701a5ceee3bc,same,A1,128,0.9327477755159982
3,681b781064a5701a5ceee3bc,same,B1,128,0.7634574236748901
3,681b781064a5701a5ceee3bc,same,A2,128,0.9757250894751419
3,681b781064a5701a5ceee3bc,same,B2,128,0.998325242355725
3,681b781064a5701a5ceee3bc,replication,A1vA2,256,0.4091839812333515
3,681b781064a5701a5ceee3bc,replication,B1vB2,256,0.8518701266512455
3,681b781064a5701a5ceee3bc,across,A1vB1,256,0.04169128367393954
3,681b781064a5701a5ceee3bc,across,A2vB2,256,0.9732898995865907
3,6931bc7a9286300ba24d7703,same,A1,128,0.8822685586748954
3,6931bc7a9286300ba24d7703,same,B1,128,0.5871061529379714
3,6931bc7a9286300ba24d7703,same,A2,128,0.36266518932600444
3,6931bc7a9286300ba24d7703,same,B2,128,0.6175952124737633
3,6931bc7a9286300ba24d7703,replication,A1vA2,256,0.9592867468682044
3,6931bc7a9286300ba24d7703,replication,B1vB2,256,0.6094121818780542
3,6931bc7a9286300ba24d7703,across,A1vB1,256,0.873967900472953
3,6931bc7a9286300ba24d7703,across,A2vB2,256,0.8734561446532721
3,697aa4b8d2b6c1b3b9d7ae2c,same,A1,128,0.4674103312936877
3,697aa4b8d2b6c1b3b9d7ae2c,same,B1,128,0.9794976995079052
3,697aa4b8d2b6c1b3b9d7ae2c,same,A2,128,0.9382629722673018
3,697aa4b8d2b6c1b3b9d7ae2c,same,B2,128,0.9801730760744513
3,697aa4b8d2b6c1b3b9d7ae2c,replication,A1vA2,256,0.4178261611905429
3,697aa4b8d2b6c1b3b9d7ae2c,replication,B1vB2,256,0.9985890434209562
3,697aa4b8d2b6c1b3b9d7ae2c,across,A1vB1,256,0.3558133856823833
3,697aa4b8d2b6c1b3b9d7ae2c,across,A2vB2,256,0.9794907082259607
3,698078075d3326e1b30bd1c3,same,A1,128,0.9021207482144347
3,698078075d3326e1b30bd1c3,same,B1,128,0.9242542484867515
3,698078075d3326e1b30bd1c3,same,A2,128,0.9377499451639482
3,698078075d3326e1b30bd1c3,same,B2,128,0.989519543955078
3,698078075d3326e1b30bd1c3,replication,A1vA2,256,0.9879561720349158
3,698078075d3326e1b30bd1c3,replication,B1vB2,256,0.9977085858427673
3,698078075d3326e1b30bd1c3,across,A1vB1,256,0.9979171054179373
3,698078075d3326e1b30bd1c3,across,A2vB2,256,0.9879268024027213
3,69825ba5f82e6ac78f401931,same,A1,128,0.932046015301808
3,69825ba5f82e6ac78f401931,same,B1,128,0.9938183254834432
3,69825ba5f82e6ac78f401931,same,A2,128,0.9925933616162035
3,69825ba5f82e6ac78f401931,same,B2,128,0.9938625526438734
3,69825ba5f82e6ac78f401931,replication,A1vA2,256,0.98824245708809
3,69825ba5f82e6ac78f401931,replication,B1vB2,256,0.9970289085748639
3,69825ba5f82e6ac78f401931,across,A1vB1,256,0.9586017836452125
3,69825ba5f82e6ac78f401931,across,A2vB2,256,0.9883882405355384
3,69861227e96662416a5b08ac,same,A1,128,0.45728226068013045
3,69861227e96662416a5b08ac,same,B1,128,0.9842382560307289
3,69861227e96662416a5b08ac,same,A2,128,0.991369687441301
3,69861227e96662416a5b08ac,same,B2,128,0.9551738014282105
3,69861227e96662416a5b08ac,replication,A1vA2,256,0.04857201809136358
3,69861227e96662416a5b08ac,replication,B1vB2,256,0.9874494247242956
3,69861227e96662416a5b08ac,across,A1vB1,256,0.24485840980960877
3,69861227e96662416a5b08ac,across,A2vB2,256,0.9754891396335785
3,698754c1f51d3f9181f7952b,same,A1,128,0.9725029348406079
3,698754c1f51d3f9181f7952b,same,B1,128,0.921784959701121
3,698754c1f51d3f9181f7952b,same,A2,128,0.9504238002811299
3,698754c1f51d3f9181f7952b,same,B2,128,0.9522642573065321
3,698754c1f51d3f9181f7952b,replication,A1vA2,256,0.808053934533412
3,698754c1f51d3f9181f7952b,replication,B1vB2,256,0.929381590548901
3,698754c1f51d3f9181f7952b,across,A1vB1,256,0.8741327282221919
3,698754c1f51d3f9181f7952b,across,A2vB2,256,0.9787248785959246
3,699b19eb2744be8e2c9e73ed,same,A1,128,0.9285782931644004
3,699b19eb2744be8e2c9e73ed,same,B1,128,0.9589383572602926
3,699b19eb2744be8e2c9e73ed,same,A2,128,0.7682241116856181
3,699b19eb2744be8e2c9e73ed,same,B2,128,0.9879862139124451
3,699b19eb2744be8e2c9e73ed,replication,A1vA2,256,0.9896539387241937
3,699b19eb2744be8e2c9e73ed,replication,B1vB2,256,0.9987660613903162
3,699b19eb2744be8e2c9e73ed,across,A1vB1,256,0.95343755268103
3,699b19eb2744be8e2c9e73ed,across,A2vB2,256,0.9728253296269485
3,69ab872f2dc6e02760face50,same,A1,128,0.9630839822142213
3,69ab872f2dc6e02760face50,same,B1,128,0.9594378819726233
3,69ab872f2dc6e02760face50,same,A2,128,0.9911213796176339
3,69ab872f2dc6e02760face50,same,B2,128,0.6495456443563772
3,69ab872f2dc6e02760face50,replication,A1vA2,256,0.9345854687223413
3,69ab872f2dc6e02760face50,replication,B1vB2,256,0.9923302511847804
3,69ab872f2dc6e02760face50,across,A1vB1,256,0.943566150346958
3,69ab872f2dc6e02760face50,across,A2vB2,256,0.9826013333832729
3,69cbcb9a5c8b56847e4ebda5,same,A1,128,0.73001037508414
3,69cbcb9a5c8b56847e4ebda5,same,B1,128,0.9820915429918439
3,69cbcb9a5c8b56847e4ebda5,same,A2,128,0.9928412924196379
3,69cbcb9a5c8b56847e4ebda5,same,B2,128,0.940095232472778
3,69cbcb9a5c8b56847e4ebda5,replication,A1vA2,256,0.98845020798973
3,69cbcb9a5c8b56847e4ebda5,replication,B1vB2,256,0.9919529166627388
3,69cbcb9a5c8b56847e4ebda5,across,A1vB1,256,0.9712305769089611
3,69cbcb9a5c8b56847e4ebda5,across,A2vB2,256,0.9926508459847782
3,69ed0ecd116ddecaafd2d726,same,A1,128,0.6214996307043211
3,69ed0ecd116ddecaafd2d726,same,B1,128,0.9592735202948377
3,69ed0ecd116ddecaafd2d726,same,A2,128,0.9055528968481938
3,69ed0ecd116ddecaafd2d726,same,B2,128,0.8038526787834692
3,69ed0ecd116ddecaafd2d726,replication,A1vA2,256,0.9423533312023693
3,69ed0ecd116ddecaafd2d726,replication,B1vB2,256,0.9194288731988856
3,69ed0ecd116ddecaafd2d726,across,A1vB1,256,0.8398461906897694
3,69ed0ecd116ddecaafd2d726,across,A2vB2,256,0.9848949880750901
3,6a0415c09c578ebcf634a8f7,same,A1,128,0.7451129064632117
3,6a0415c09c578ebcf634a8f7,same,B1,128,0.9744967506499481
3,6a0415c09c578ebcf634a8f7,same,A2,128,0.9788830720287492
3,6a0415c09c578ebcf634a8f7,same,B2,128,0.9941246685729712
3,6a0415c09c578ebcf634a8f7,replication,A1vA2,256,0.834071825646964
3,6a0415c09c578ebcf634a8f7,replication,B1vB2,256,0.9827469983456348
3,6a0415c09c578ebcf634a8f7,across,A1vB1,256,0.8805063118301747
3,6a0415c09c578ebcf634a8f7,across,A2vB2,256,0.999739560517123
3,6a17230d60e2a318a8073ab6,same,A1,128,0.9342438747024865
3,6a17230d60e2a318a8073ab6,same,B1,128,0.9728046626053926
3,6a17230d60e2a318a8073ab6,same,A2,128,0.8026474535872347
3,6a17230d60e2a318a8073ab6,same,B2,128,0.8437526509320891
3,6a17230d60e2a318a8073ab6,replication,A1vA2,256,0.998440766399299
3,6a17230d60e2a318a8073ab6,replication,B1vB2,256,0.9505621669277293
3,6a17230d60e2a318a8073ab6,across,A1vB1,256,0.9506165880100775
3,6a17230d60e2a318a8073ab6,across,A2vB2,256,0.987610013050752
3,6a19b14498b3d36bccc467cb,same,A1,128,0.48535234679288897
3,6a19b14498b3d36bccc467cb,same,B1,128,0.9757436717615138
3,6a19b14498b3d36bccc467cb,same,A2,128,0.8159456540825871
3,6a19b14498b3d36bccc467cb,same,B2,128,0.906032245221558
3,6a19b14498b3d36bccc467cb,replication,A1vA2,256,0.46122992807779895
3,6a19b14498b3d36bccc467cb,replication,B1vB2,256,0.7781767319698707
3,6a19b14498b3d36bccc467cb,across,A1vB1,256,0.1448598922722369
3,6a19b14498b3d36bccc467cb,across,A2vB2,256,0.9873322697091365
3,6a1e249fc87cc5282b9262b3,same,A1,128,0.9039466068108976
3,6a1e249fc87cc5282b9262b3,same,B1,128,0.9865744426840263
3,6a1e249fc87cc5282b9262b3,same,A2,128,0.9928740117810477
3,6a1e249fc87cc5282b9262b3,same,B2,128,0.9958309297394752
3,6a1e249fc87cc5282b9262b3,replication,A1vA2,256,0.9902070203530322
