pid,npos,n,med,worst,own
5dbcdf38,4,4,0.598,0.474,0.579
6a440778,4,4,0.598,0.553,0.559
6a43a2cd,4,4,0.59,0.399,0.505
6a1e249f,4,4,0.587,0.536,0.574
69861227,4,4,0.585,0.409,0.535
69cbcb9a,4,4,0.584,0.4,0.517
6a22f88b,4,4,0.578,0.365,0.536
6a0415c0,4,4,0.567,0.547,0.538
69825ba5,4,4,0.545,0.355,0.561
6a17230d,4,4,0.532,0.459,0.495
6931bc7a,4,4,0.532,0.402,0.503
69807807,4,4,0.519,0.43,0.54
5f89a358,4,4,0.511,0.403,0.489
681b7810,4,4,0.496,0.257,0.551
69ed0ecd,4,4,0.473,0.034,0.407
60324e0d,4,4,0.473,0.267,0.438
650f06d2,4,4,0.459,0.388,0.535
69ab872f,4,4,0.426,0.027,0.429
697aa4b8,4,4,0.377,0.11,0.423
664b8bef,3,4,0.228,-0.287,0.416
698754c1,3,4,0.13,-0.002,0.413
6a19b144,2,4,-0.027,-0.129,0.305
699b19eb,2,4,-0.332,-2.888,0.316
