participant_id,perturbation_id,type,repetition,duration_responses,pre_responses_in_block,recovery_responses,recovery_bins,rewards_during
5dbcdf38a39098278b46036c,pert_01_contingency_reversal,contingency_reversal,1,8,39,153,15,1
5dbcdf38a39098278b46036c,pert_02_extinction,extinction,1,8,27,165,16,0
5dbcdf38a39098278b46036c,pert_03_extinction,extinction,2,8,37,155,15,0
5dbcdf38a39098278b46036c,pert_04_contingency_reversal,contingency_reversal,2,8,40,152,15,0
5dbcdf38a39098278b46036c,pert_05_extinction,extinction,3,8,134,58,5,0
5dbcdf38a39098278b46036c,pert_06_contingency_reversal,contingency_reversal,3,8,157,35,3,7
5dbcdf38a39098278b46036c,pert_07_contingency_reversal,contingency_reversal,4,8,133,59,5,2
5dbcdf38a39098278b46036c,pert_08_extinction,extinction,4,8,135,57,5,0
5f89a35824bee7076b6d536c,pert_01_extinction,extinction,1,8,25,167,16,0
5f89a35824bee7076b6d536c,pert_02_extinction,extinction,2,8,55,137,13,0
5f89a35824bee7076b6d536c,pert_03_extinction,extinction,3,8,55,137,13,0
5f89a35824bee7076b6d536c,pert_04_contingency_reversal,contingency_reversal,1,8,41,151,15,4
5f89a35824bee7076b6d536c,pert_05_contingency_reversal,contingency_reversal,2,8,138,54,5,5
5f89a35824bee7076b6d536c,pert_06_contingency_reversal,contingency_reversal,3,8,137,55,5,5
5f89a35824bee7076b6d536c,pert_07_extinction,extinction,4,8,131,61,6,0
5f89a35824bee7076b6d536c,pert_08_contingency_reversal,contingency_reversal,4,8,129,63,6,3
60324e0d654dbd21e0e7fa2d,pert_01_extinction,extinction,1,8,52,140,14,0
60324e0d654dbd21e0e7fa2d,pert_02_extinction,extinction,2,8,45,147,14,0
60324e0d654dbd21e0e7fa2d,pert_03_extinction,extinction,3,8,45,147,14,0
60324e0d654dbd21e0e7fa2d,pert_04_extinction,extinction,4,8,58,134,13,0
60324e0d654dbd21e0e7fa2d,pert_05_contingency_reversal,contingency_reversal,1,8,144,48,4,0
60324e0d654dbd21e0e7fa2d,pert_06_contingency_reversal,contingency_reversal,2,8,125,67,6,2
60324e0d654dbd21e0e7fa2d,pert_07_contingency_reversal,contingency_reversal,3,8,158,34,3,3
60324e0d654dbd21e0e7fa2d,pert_08_contingency_reversal,contingency_reversal,4,8,146,46,4,5
650f06d2017a53e840c5af61,pert_01_extinction,extinction,1,8,56,136,13,0
650f06d2017a53e840c5af61,pert_02_extinction,extinction,2,8,47,145,14,0
650f06d2017a53e840c5af61,pert_03_contingency_reversal,contingency_reversal,1,8,62,130,13,1
650f06d2017a53e840c5af61,pert_05_contingency_reversal,contingency_reversal,2,8,156,36,3,1
650f06d2017a53e840c5af61,pert_06_contingency_reversal,contingency_reversal,3,8,126,66,6,1
650f06d2017a53e840c5af61,pert_07_extinction,extinction,4,8,162,30,3,0
664b8bef90cdb799d4c4c35d,pert_01_contingency_reversal,contingency_reversal,1,8,27,165,16,6
664b8bef90cdb799d4c4c35d,pert_02_extinction,extinction,1,8,38,154,15,0
664b8bef90cdb799d4c4c35d,pert_03_contingency_reversal,contingency_reversal,2,8,62,130,13,5
664b8bef90cdb799d4c4c35d,pert_04_extinction,extinction,2,8,33,159,15,0
664b8bef90cdb799d4c4c35d,pert_05_extinction,extinction,3,8,137,55,5,0
664b8bef90cdb799d4c4c35d,pert_06_contingency_reversal,contingency_reversal,3,8,154,38,3,3
664b8bef90cdb799d4c4c35d,pert_07_contingency_reversal,contingency_reversal,4,8,127,65,6,4
