participant_id,fraction,n_responses,beats_null,cue_sign_ok
5dbcdf38a39098278b46036c,0.1,402,True,True
5dbcdf38a39098278b46036c,0.15,603,True,True
5dbcdf38a39098278b46036c,0.25,1006,True,True
5dbcdf38a39098278b46036c,0.35,1408,True,True
5dbcdf38a39098278b46036c,0.5,2012,True,True
5dbcdf38a39098278b46036c,0.75,3018,True,True
5dbcdf38a39098278b46036c,1.0,4025,True,True
5f89a35824bee7076b6d536c,0.1,402,True,True
5f89a35824bee7076b6d536c,0.15,603,True,True
5f89a35824bee7076b6d536c,0.25,1006,True,True
5f89a35824bee7076b6d536c,0.35,1408,True,True
5f89a35824bee7076b6d536c,0.5,2012,True,True
5f89a35824bee7076b6d536c,0.75,3018,True,True
5f89a35824bee7076b6d536c,1.0,4025,True,True
60324e0d654dbd21e0e7fa2d,0.1,402,True,True
60324e0d654dbd21e0e7fa2d,0.15,603,True,True
60324e0d654dbd21e0e7fa2d,0.25,1006,True,True
60324e0d654dbd21e0e7fa2d,0.35,1408,True,True
60324e0d654dbd21e0e7fa2d,0.5,2012,True,True
60324e0d654dbd21e0e7fa2d,0.75,3018,True,True
60324e0d654dbd21e0e7fa2d,1.0,4025,True,True
650f06d2017a53e840c5af61,0.1,384,False,True
650f06d2017a53e840c5af61,0.15,576,True,True
650f06d2017a53e840c5af61,0.25,961,True,True
650f06d2017a53e840c5af61,0.35,1345,True,True
650f06d2017a53e840c5af61,0.5,1922,True,True
650f06d2017a53e840c5af61,0.75,2883,True,True
650f06d2017a53e840c5af61,1.0,3844,True,True
664b8bef90cdb799d4c4c35d,0.1,402,True,True
664b8bef90cdb799d4c4c35d,0.15,603,True,True
664b8bef90cdb799d4c4c35d,0.25,1006,True,True
664b8bef90cdb799d4c4c35d,0.35,1408,True,True
664b8bef90cdb799d4c4c35d,0.5,2012,True,True
664b8bef90cdb799d4c4c35d,0.75,3018,True,True
664b8bef90cdb799d4c4c35d,1.0,4025,True,True
681b781064a5701a5ceee3bc,0.1,402,True,True
681b781064a5701a5ceee3bc,0.15,603,True,True
681b781064a5701a5ceee3bc,0.25,1006,True,True
681b781064a5701a5ceee3bc,0.35,1408,True,True
681b781064a5701a5ceee3bc,0.5,2012,True,True
681b781064a5701a5ceee3bc,0.75,3018,True,True
681b781064a5701a5ceee3bc,1.0,4025,True,True
6931bc7a9286300ba24d7703,0.1,402,True,True
6931bc7a9286300ba24d7703,0.15,603,True,True
6931bc7a9286300ba24d7703,0.25,1006,True,True
6931bc7a9286300ba24d7703,0.35,1408,True,True
6931bc7a9286300ba24d7703,0.5,2012,True,True
6931bc7a9286300ba24d7703,0.75,3018,True,True
6931bc7a9286300ba24d7703,1.0,4025,True,True
697aa4b8d2b6c1b3b9d7ae2c,0.1,402,True,True
697aa4b8d2b6c1b3b9d7ae2c,0.15,603,True,True
697aa4b8d2b6c1b3b9d7ae2c,0.25,1006,True,True
697aa4b8d2b6c1b3b9d7ae2c,0.35,1408,True,True
697aa4b8d2b6c1b3b9d7ae2c,0.5,2012,True,True
697aa4b8d2b6c1b3b9d7ae2c,0.75,3018,True,True
697aa4b8d2b6c1b3b9d7ae2c,1.0,4025,True,True
698078075d3326e1b30bd1c3,0.1,402,True,True
698078075d3326e1b30bd1c3,0.15,603,True,True
698078075d3326e1b30bd1c3,0.25,1006,True,True
698078075d3326e1b30bd1c3,0.35,1408,True,True
698078075d3326e1b30bd1c3,0.5,2012,True,True
698078075d3326e1b30bd1c3,0.75,3018,True,True
698078075d3326e1b30bd1c3,1.0,4025,True,True
69825ba5f82e6ac78f401931,0.1,402,True,True
69825ba5f82e6ac78f401931,0.15,603,True,True
69825ba5f82e6ac78f401931,0.25,1006,True,True
69825ba5f82e6ac78f401931,0.35,1408,True,True
69825ba5f82e6ac78f401931,0.5,2012,True,True
69825ba5f82e6ac78f401931,0.75,3018,True,True
69825ba5f82e6ac78f401931,1.0,4025,True,True
69861227e96662416a5b08ac,0.1,402,True,True
69861227e96662416a5b08ac,0.15,603,True,True
69861227e96662416a5b08ac,0.25,1006,True,True
69861227e96662416a5b08ac,0.35,1408,True,True
69861227e96662416a5b08ac,0.5,2012,True,True
69861227e96662416a5b08ac,0.75,3018,True,True
69861227e96662416a5b08ac,1.0,4025,True,True
698754c1f51d3f9181f7952b,0.1,330,False,True
698754c1f51d3f9181f7952b,0.15,495,True,True
698754c1f51d3f9181f7952b,0.25,825,True,True
698754c1f51d3f9181f7952b,0.35,1155,True,True
698754c1f51d3f9181f7952b,0.5,1650,True,True
698754c1f51d3f9181f7952b,0.75,2475,True,True
698754c1f51d3f9181f7952b,1.0,3301,True,True
699b19eb2744be8e2c9e73ed,0.1,402,True,True
699b19eb2744be8e2c9e73ed,0.15,603,True,True
699b19eb2744be8e2c9e73ed,0.25,1006,True,True
699b19eb2744be8e2c9e73ed,0.35,1408,True,True
699b19eb2744be8e2c9e73ed,0.5,2012,True,True
699b19eb2744be8e2c9e73ed,0.75,3018,True,True
699b19eb2744be8e2c9e73ed,1.0,4025,True,True
69ab872f2dc6e02760face50,0.1,402,True,True
69ab872f2dc6e02760face50,0.15,603,True,True
69ab872f2dc6e02760face50,0.25,1006,False,True
69ab872f2dc6e02760face50,0.35,1408,True,True
69ab872f2dc6e02760face50,0.5,2012,True,True
69ab872f2dc6e02760face50,0.75,3018,True,True
69ab872f2dc6e02760face50,1.0,4025,True,True
69cbcb9a5c8b56847e4ebda5,0.1,402,True,True
69cbcb9a5c8b56847e4ebda5,0.15,603,True,True
69cbcb9a5c8b56847e4ebda5,0.25,1006,True,True
69cbcb9a5c8b56847e4ebda5,0.35,1408,True,True
69cbcb9a5c8b56847e4ebda5,0.5,2012,True,True
69cbcb9a5c8b56847e4ebda5,0.75,3018,True,True
69cbcb9a5c8b56847e4ebda5,1.0,4025,True,True
69ed0ecd116ddecaafd2d726,0.1,402,True,True
69ed0ecd116ddecaafd2d726,0.15,603,True,True
69ed0ecd116ddecaafd2d726,0.25,1006,True,True
69ed0ecd116ddecaafd2d726,0.35,1408,True,True
69ed0ecd116ddecaafd2d726,0.5,2012,True,True
69ed0ecd116ddecaafd2d726,0.75,3018,True,True
69ed0ecd116ddecaafd2d726,1.0,4025,True,True
6a0415c09c578ebcf634a8f7,0.1,402,True,True
6a0415c09c578ebcf634a8f7,0.15,603,True,True
6a0415c09c578ebcf634a8f7,0.25,1006,True,True
6a0415c09c578ebcf634a8f7,0.35,1408,True,True
6a0415c09c578ebcf634a8f7,0.5,2012,True,True
6a0415c09c578ebcf634a8f7,0.75,3018,True,True
6a0415c09c578ebcf634a8f7,1.0,4025,True,True
6a17230d60e2a318a8073ab6,0.1,402,False,True
6a17230d60e2a318a8073ab6,0.15,603,True,True
6a17230d60e2a318a8073ab6,0.25,1006,True,True
6a17230d60e2a318a8073ab6,0.35,1408,True,True
6a17230d60e2a318a8073ab6,0.5,2012,True,True
6a17230d60e2a318a8073ab6,0.75,3018,True,True
6a17230d60e2a318a8073ab6,1.0,4025,True,True
6a19b14498b3d36bccc467cb,0.1,402,False,True
6a19b14498b3d36bccc467cb,0.15,603,False,True
6a19b14498b3d36bccc467cb,0.25,1006,True,True
6a19b14498b3d36bccc467cb,0.35,1408,True,True
6a19b14498b3d36bccc467cb,0.5,2012,True,True
6a19b14498b3d36bccc467cb,0.75,3018,True,True
6a19b14498b3d36bccc467cb,1.0,4025,True,True
6a1e249fc87cc5282b9262b3,0.1,402,True,True
6a1e249fc87cc5282b9262b3,0.15,603,True,True
6a1e249fc87cc5282b9262b3,0.25,1006,True,True
6a1e249fc87cc5282b9262b3,0.35,1408,True,True
6a1e249fc87cc5282b9262b3,0.5,2012,True,True
6a1e249fc87cc5282b9262b3,0.75,3018,True,True
6a1e249fc87cc5282b9262b3,1.0,4025,True,True
6a22f88b62f94cd1d52e3d19,0.1,402,True,True
6a22f88b62f94cd1d52e3d19,0.15,603,False,True
6a22f88b62f94cd1d52e3d19,0.25,1006,True,True
6a22f88b62f94cd1d52e3d19,0.35,1408,True,True
6a22f88b62f94cd1d52e3d19,0.5,2012,True,True
6a22f88b62f94cd1d52e3d19,0.75,3018,True,True
