participant_id,n_transitions,skill_none,skill_scalar,skill_full,gain_over_scalar,null_p95,beats_null,spectral_radius,lambda1_real,lambda1_imag,complex_pair,half_life_bins,dominant_feature
5dbcdf38a39098278b46036c,1329,0.011,0.126,0.432,0.3057,0.0195,True,0.803,0.803,0.0,False,3.17,P(left)
5f89a35824bee7076b6d536c,1329,0.13,0.219,0.341,0.1219,0.014,True,0.823,0.823,0.0,False,3.56,mean log ICI
60324e0d654dbd21e0e7fa2d,1329,0.08,0.129,0.35,0.2208,0.0163,True,0.916,0.916,0.0,False,7.9,mean log ICI
650f06d2017a53e840c5af61,1269,0.373,0.452,0.5,0.0478,0.0077,True,0.714,0.714,0.0,False,2.06,P(left)
664b8bef90cdb799d4c4c35d,1329,0.129,0.272,0.347,0.0751,0.015,True,0.73,0.73,0.0,False,2.2,P(left)
681b781064a5701a5ceee3bc,1329,0.169,0.221,0.44,0.2184,0.0171,True,0.733,0.733,0.0,False,2.23,mean log ICI
6931bc7a9286300ba24d7703,1329,0.366,0.424,0.452,0.0278,0.0069,True,0.484,0.484,0.0,False,0.96,mean log ICI
697aa4b8d2b6c1b3b9d7ae2c,1329,0.069,0.187,0.361,0.1745,0.0188,True,0.833,0.833,0.0,False,3.79,P(left)
698078075d3326e1b30bd1c3,1329,0.346,0.431,0.461,0.0303,0.0093,True,0.77,0.77,0.0,False,2.66,P(left)
69825ba5f82e6ac78f401931,1329,0.306,0.423,0.506,0.0829,0.0105,True,0.806,0.806,0.0,False,3.22,P(left)
69861227e96662416a5b08ac,1329,0.336,0.396,0.521,0.1252,0.0129,True,0.709,0.709,0.0,False,2.01,P(left)
698754c1f51d3f9181f7952b,1089,0.291,0.34,0.413,0.0726,0.0087,True,0.645,0.645,0.0,False,1.58,P(left)
699b19eb2744be8e2c9e73ed,1329,0.116,0.241,0.327,0.086,0.0116,True,0.878,0.878,0.0,False,5.32,P(left)
69ab872f2dc6e02760face50,1329,0.312,0.387,0.435,0.048,0.0111,True,0.795,0.795,0.0,False,3.01,P(left)
69cbcb9a5c8b56847e4ebda5,1329,0.252,0.259,0.45,0.1906,0.0141,True,0.727,0.727,0.0,False,2.17,P(left)
69ed0ecd116ddecaafd2d726,1329,0.298,0.34,0.377,0.037,0.0075,True,0.607,0.607,0.0,False,1.39,P(left)
6a0415c09c578ebcf634a8f7,1329,0.201,0.302,0.391,0.0892,0.0144,True,0.666,0.666,0.0,False,1.7,P(left)
6a17230d60e2a318a8073ab6,1329,0.297,0.368,0.451,0.0832,0.0102,True,0.718,0.718,0.0,False,2.09,P(left)
6a19b14498b3d36bccc467cb,1329,0.219,0.278,0.308,0.0301,0.0107,True,0.693,0.693,0.0,False,1.89,P(left)
6a1e249fc87cc5282b9262b3,1329,0.219,0.279,0.488,0.2088,0.0163,True,0.799,0.799,0.0,False,3.09,P(left)
6a22f88b62f94cd1d52e3d19,1329,0.276,0.366,0.429,0.0634,0.0097,True,0.744,0.744,0.0,False,2.35,P(left)
6a43a2cd49feba211cdecf86,1329,0.13,0.24,0.385,0.1447,0.0135,True,0.838,0.838,0.0,False,3.91,mean log ICI
6a4407786c0afee02f74e0d0,1329,0.241,0.319,0.434,0.1141,0.0109,True,0.601,0.597,-0.071,True,1.36,mean log ICI
