participant_id,color,flipped,pre_last50,post_r1,post_first5,post_41_60,start_richness_gap
5dbcdf38a39098278b46036c,#2E5C8A,False,0.42,1.0,1.0,1.0,0.06999999999999995
5dbcdf38a39098278b46036c,#2E5C8A,False,0.66,1.0,1.0,0.25,0.06999999999999995
5dbcdf38a39098278b46036c,#2E5C8A,False,0.54,0.0,0.0,0.25,0.17000000000000004
5dbcdf38a39098278b46036c,#2E5C8A,True,0.8,0.0,0.0,0.05,0.06999999999999995
5dbcdf38a39098278b46036c,#2E5C8A,False,0.6799999999999999,0.0,0.0,0.7,0.17000000000000004
5dbcdf38a39098278b46036c,#2E5C8A,False,0.6,1.0,1.0,0.5,0.06999999999999995
5dbcdf38a39098278b46036c,#2E5C8A,False,0.72,0.0,0.0,0.0,0.17000000000000004
5dbcdf38a39098278b46036c,#2E5C8A,True,0.5800000000000001,0.0,0.0,0.0,0.06999999999999995
5dbcdf38a39098278b46036c,#2E5C8A,False,0.76,1.0,1.0,1.0,0.06999999999999995
5dbcdf38a39098278b46036c,#2E5C8A,False,0.64,0.0,0.0,0.8,0.17000000000000004
5dbcdf38a39098278b46036c,#2E5C8A,False,0.68,0.0,0.0,0.3,0.17000000000000004
5dbcdf38a39098278b46036c,#2E5C8A,True,0.52,0.0,0.0,0.0,0.06999999999999995
5dbcdf38a39098278b46036c,#2E5C8A,False,0.6599999999999999,1.0,1.0,0.6,0.06999999999999995
5dbcdf38a39098278b46036c,#2E5C8A,False,0.42000000000000004,0.0,0.0,0.55,0.17000000000000004
5dbcdf38a39098278b46036c,#2E5C8A,False,0.48,1.0,1.0,1.0,0.06999999999999995
5dbcdf38a39098278b46036c,#2E7D5B,False,0.45999999999999996,0.0,0.0,0.050000000000000044,0.17000000000000004
5dbcdf38a39098278b46036c,#2E7D5B,False,0.48,0.0,0.0,0.75,0.17000000000000004
5dbcdf38a39098278b46036c,#2E7D5B,False,0.62,1.0,1.0,1.0,0.06999999999999995
5dbcdf38a39098278b46036c,#2E7D5B,True,0.64,0.0,0.0,0.0,0.06999999999999995
5dbcdf38a39098278b46036c,#2E7D5B,False,0.56,0.0,0.0,0.0,0.17000000000000004
5dbcdf38a39098278b46036c,#2E7D5B,False,0.8,0.0,0.0,0.5,0.17000000000000004
5dbcdf38a39098278b46036c,#2E7D5B,False,0.64,0.0,0.0,0.25,0.17000000000000004
5dbcdf38a39098278b46036c,#2E7D5B,True,0.62,1.0,1.0,0.6,0.17000000000000004
5dbcdf38a39098278b46036c,#2E7D5B,False,0.5800000000000001,0.0,0.0,0.4,0.17000000000000004
5dbcdf38a39098278b46036c,#2E7D5B,False,0.6,0.0,0.0,0.30000000000000004,0.17000000000000004
5dbcdf38a39098278b46036c,#2E7D5B,False,0.5800000000000001,1.0,1.0,0.95,0.06999999999999995
5dbcdf38a39098278b46036c,#2E7D5B,True,0.6799999999999999,1.0,1.0,0.4,0.17000000000000004
5dbcdf38a39098278b46036c,#2E7D5B,False,0.5,1.0,1.0,1.0,0.06999999999999995
5dbcdf38a39098278b46036c,#2E7D5B,False,0.76,0.0,0.0,0.15,0.17000000000000004
5dbcdf38a39098278b46036c,#2E7D5B,False,0.76,0.0,0.0,1.0,0.17000000000000004
5f89a35824bee7076b6d536c,#2E5C8A,False,0.68,1.0,0.8,0.2,0.06999999999999995
5f89a35824bee7076b6d536c,#2E5C8A,False,0.64,0.0,0.0,1.0,0.17000000000000004
5f89a35824bee7076b6d536c,#2E5C8A,False,0.82,1.0,1.0,0.6,0.06999999999999995
5f89a35824bee7076b6d536c,#2E5C8A,True,0.64,0.0,0.0,1.0,0.06999999999999995
5f89a35824bee7076b6d536c,#2E5C8A,False,0.52,0.0,0.0,0.30000000000000004,0.17000000000000004
5f89a35824bee7076b6d536c,#2E5C8A,False,0.5,1.0,1.0,0.44999999999999996,0.06999999999999995
5f89a35824bee7076b6d536c,#2E5C8A,False,0.52,0.0,0.0,0.85,0.17000000000000004
5f89a35824bee7076b6d536c,#2E5C8A,True,0.33999999999999997,1.0,0.8,0.4,0.17000000000000004
5f89a35824bee7076b6d536c,#2E5C8A,False,0.68,0.0,0.6,0.75,0.17000000000000004
5f89a35824bee7076b6d536c,#2E5C8A,False,0.48,1.0,1.0,1.0,0.06999999999999995
5f89a35824bee7076b6d536c,#2E5C8A,False,0.66,0.0,0.6,0.3,0.17000000000000004
5f89a35824bee7076b6d536c,#2E5C8A,True,0.56,1.0,1.0,0.4,0.17000000000000004
5f89a35824bee7076b6d536c,#2E5C8A,False,0.7,0.0,0.0,0.9,0.17000000000000004
5f89a35824bee7076b6d536c,#2E5C8A,False,0.72,0.0,0.6,0.8,0.17000000000000004
