variant,n_transitions,same_cosine_median,diff_cosine_median,auc
2D_choice_reward,15,0.82,0.727,0.556
2D_choice_reward,20,0.841,0.726,0.587
2D_choice_reward,30,0.898,0.66,0.633
2D_choice_reward,36,0.918,0.671,0.677
2D_choice_reward,50,0.945,0.649,0.704
2D_choice_reward,80,0.967,0.64,0.819
2D_choice_switch,15,0.794,0.736,0.526
2D_choice_switch,20,0.79,0.735,0.537
2D_choice_switch,30,0.81,0.747,0.539
2D_choice_switch,36,0.834,0.77,0.538
2D_choice_switch,50,0.85,0.766,0.533
2D_choice_switch,80,0.921,0.759,0.564
3D_no_ici,15,0.62,0.53,0.544
3D_no_ici,20,0.623,0.512,0.558
3D_no_ici,30,0.683,0.474,0.599
3D_no_ici,36,0.712,0.485,0.625
3D_no_ici,50,0.766,0.457,0.702
3D_no_ici,80,0.837,0.486,0.762
3D_no_switch,15,0.608,0.535,0.534
3D_no_switch,20,0.665,0.544,0.568
3D_no_switch,30,0.731,0.509,0.638
3D_no_switch,36,0.728,0.513,0.628
3D_no_switch,50,0.817,0.527,0.672
3D_no_switch,80,0.892,0.487,0.718
4D_full,15,0.52,0.441,0.539
4D_full,20,0.53,0.448,0.561
4D_full,30,0.594,0.44,0.596
4D_full,36,0.615,0.429,0.628
4D_full,50,0.679,0.455,0.669
4D_full,80,0.814,0.462,0.758
