participant_id,n_transitions,n_train,n_test,n_contexts,ridge_alpha,mse_persistence,skill_persistence,mse_A_i,skill_A_i,mse_DMDc,skill_DMDc,mse_A_ic,skill_A_ic,best_model,spectral_radius,lambda1_real,lambda1_imag,lambda2_mag,complex_pair,dominant_feature,half_life_bins,oscillation_period_bins,loading_choice_prop_A,loading_reward_rate,loading_switch_rate,loading_mean_log_ici,spectral_radius_bias,spectral_radius_bias_corrected,spectral_radius_lo,spectral_radius_hi,eigvec_stability_median,eigvec_stability_lo,frac_replicates_complex,n_boot_ok,spectral_radius_sample_bias,spectral_radius_debiased,noise_ratio_choice_prop_A,noise_ratio_reward_rate,noise_ratio_switch_rate,noise_ratio_mean_log_ici,spectral_radius_attenuation_corrected,skill_h1,skill_h2,skill_h5,skill_h10,bin_clicks,att_loading_choice_prop_A,att_loading_reward_rate,att_loading_switch_rate,att_loading_mean_log_ici
mmgkzukxhc834b,102,70,32,4,10.0,2.5793076505016206,0.0,1.3185294136752264,0.4888049072320627,1.324216661223862,0.4865999560128743,1.2981343862999086,0.49671207851167,A_ic,0.34458061545538965,0.34458061545538965,0.0,0.25998239779338156,False,reward rate,0.6505814520693382,,-0.1442148577468894,0.9852359921263364,-0.08888318615130474,0.024736488098975468,0.023771494764529277,0.32080912069086037,0.20413515188137044,0.5353128726887035,0.9385035615204368,0.101560543869593,0.4766666666666667,300,0.02496437237696536,0.3196162430784243,0.12784810126582277,0.252330271118082,1.6247259832366225,0.1,,0.476863520580275,0.46384039248224024,0.23342934465545714,,10,,,,
mmglwqjldp7qzs,54,36,18,4,10.0,1.0193675974860044,0.0,0.9296959639977334,0.08796790648380615,1.2625928019570256,-0.23860401789390862,0.9068647383814851,0.11036534747815929,A_ic,0.7041713102481146,0.7041713102481146,0.0,0.4986690665743427,False,P(A),1.9762781577848358,,0.9882786003287137,0.14369287344855847,-0.051534673736637115,-0.0013941503769153618,-0.01152530525047879,0.7156966154985934,0.5307851366267218,0.8101372246585863,0.8806530934259971,0.3749910691251509,0.57,300,-0.044615446540070214,0.7487867567881848,0.042581341434167405,0.3884566900774358,0.19737931034482767,0.09999999999999998,0.7328320562380756,-0.4398727584794902,-1.6746091783249024,,,10,-0.9815706897718529,-0.15203013201922186,0.08961290329159967,0.07331676140336103
mmgnnwigzcjcjb,78,53,25,4,0.01,1.1801432861196077,0.0,1.934665418429162,-0.6393479005337352,1.6014495853278254,-0.35699588699394447,1.9494021488478694,-0.6518351388140653,DMDc,1.0389870258620086,1.0389870258620086,0.0,0.5721025734287296,False,mean log ICI,inf,,-0.07432546968510553,-0.15766396051806258,0.26816486830976255,0.9474731677014684,-0.17509437337885714,1.2140813992408659,0.43920192451853973,1.2436034410103707,0.7858938193655826,0.14834433884984952,0.71,300,-0.0008252554295200554,1.0398122812915287,0.3161876865259201,0.25253712871287115,0.46986301369863004,0.09999999999999999,1.266538284182507,-1.206771175414057,-4.590551221851544,-0.7394069580508916,,10,0.08406693420624016,0.5272821439423695,-0.05486559279818932,-0.8437393305871225
mmgp4bc8msbt9i,108,74,34,4,10.0,1.0333173564948999,0.0,0.5990697584279479,0.42024610864948275,0.5101212246997917,0.5063266657688146,0.4544754790063392,0.5601782200311058,A_ic,0.6884089675584599,0.6884089675584599,0.0,0.5183937364110054,False,switch rate,1.8564510231976696,,0.11456883472597798,0.4226266902076473,0.8531883092654013,0.28342613105800063,0.0072026623106075105,0.6812063052478524,0.5241061705599056,0.8419600656680837,0.8936822889818512,0.2610292371895303,0.26,300,-0.02217805099604575,0.7105870185545057,0.30171602315798235,0.25482527919977993,0.1433427909248694,0.09999999999999998,0.7827821537784942,0.4181678342484069,0.24791907551597306,0.39355234217167034,,10,0.1320821240334001,0.35528918043995567,0.9011281213790967,0.21045669301048633
mmgp4tj5u4fkle,93,63,30,4,10.0,1.230088094136964,0.0,0.9378131070321146,0.2376049231741496,0.905021228926543,0.26426307738429866,0.8245561556479217,0.3296771511097062,A_ic,0.7547118329935371,0.7547118329935371,0.0,0.3990104451406057,False,reward rate,2.4630408361678184,,0.020523361610232365,0.8600394909791315,0.49509731358215536,0.12161215263412198,-0.02821955004619181,0.7829313830397289,0.5144428251612858,0.8414041781934413,0.9813299038100312,0.855643649350767,0.36,300,-0.048791651656150514,0.8035034846496876,0.2013815955744011,0.16474646943486132,0.1442047742306586,0.09999999999999999,0.8728656720061119,0.1897016617447758,0.30822806596280633,0.056624170522471796,,10,-0.007922725680100594,0.8763434733375738,0.4541457905563754,0.16034633789506975
mmgp5kmow73uh4,25,15,10,3,10.0,1.8972343008506691,0.0,1.0006684362490055,0.47256465065999886,1.6764888101622835,0.11635120163567003,1.0111259575128106,0.4670526686875476,A_i,0.459432041077127,0.459432041077127,0.0,0.10795747692683784,True,mean log ICI,0.8912047377050791,,0.09392972604003819,-0.3741183491619589,0.06900982378373353,0.9200273428587392,-0.03620403429892466,0.49563607537605164,0.20662033020720366,0.6096628055513538,0.9257588421445273,0.2529416092174161,0.7366666666666667,300,0.02900970040405343,0.43042234067307356,0.09519832985386223,0.49645390070921985,0.6887755102040817,0.1,1.902047460671226,0.3892768871027185,0.14342030540980893,,,10,-0.19074640172532034,0.2457236868413663,0.11443621158149582,-0.9434723278574757
mmgp92mecyqm9v,114,78,36,4,10.0,1.0840302346180621,0.0,0.5157974730746849,0.5241853440956685,0.4780541787089624,0.5590029102118209,0.4927346340222759,0.5454604324796515,DMDc,0.6833038991734068,0.6833038991734068,0.0,0.21830258019447615,True,mean log ICI,1.820165018611685,,-0.06415461449834935,-0.5490112715704063,-0.4864598889971926,-0.6766295777780137,-0.2526661623779127,0.9359700615513196,0.1696759416613946,0.7043576872419613,0.888641487279906,0.07471925867818775,0.76,300,-0.02553855645657388,0.7088424556299807,0.1520703933747412,0.25990133434798024,0.6124695189536686,0.1,,0.5039769484043233,0.46333774020523855,0.46356015364293235,,10,,,,
mmgp978sldfue2,94,64,30,4,10.0,1.456933635229613,0.0,1.1024554841897711,0.24330425385777854,1.0834217390330882,0.25636850379781306,1.054024027304258,0.27654630120599577,A_ic,0.6061697961277281,0.6061697961277281,0.0,0.29903422035039795,False,reward rate,1.3846462429242088,,-0.13904953822171237,0.8498957907401745,-0.3699182621948817,-0.3485725894231803,-0.00953876479342175,0.6157085609211499,0.3744661916095067,0.7533502793300118,0.9365630437847069,0.49874625516972354,0.69,300,-0.03971995012563134,0.6458897462533595,0.3521098265895953,0.2145168694055543,0.590642300940721,0.09999999999999995,1.0635449077962282,0.2139386764240595,0.26657812937846487,-0.13914857044278484,,10,-0.05374191025558021,0.411149147995301,-0.8885294628869703,-0.1964270316596248
mmgp9zmmkmd16z,100,67,33,4,10.0,1.1795101256263196,0.0,0.8873240194237414,0.24771818389217093,0.8262517830124452,0.2994958118111062,1.1951980254387564,-0.01330035196103685,DMDc,0.6539050093402069,0.6539050093402069,0.0,0.2724421925000542,True,reward rate,1.6317285848880594,,0.022072960671424436,-0.7258683092147465,0.6374010865593347,-0.2575807386779965,-0.024848477751825304,0.6787534870920322,0.4468385658617047,0.7655906238149139,0.977656756238036,0.86500098449294,0.83,300,-0.03427614299714887,0.6881811523373558,0.3367228253207388,0.18970670914542728,0.48818508666803073,0.1,1.1787728307292136,0.24951984679191547,0.30065944369848646,0.14987331484559113,,10,0.2758284936778538,0.33420676735251176,-0.811266667041107,0.3925186284486431
mmgpaypnlftqhj,84,58,26,4,10.0,1.36794226123562,0.0,0.7972385967391792,0.4171986498764515,0.8788501492015282,0.3575385642317316,0.8976378047826542,0.3438043181940693,A_i,0.5676013320662041,0.5676013320662041,0.0,0.19861821090186574,True,reward rate,1.2239151257257566,,0.34286299306685014,-0.8796295829905928,0.04183692117730484,-0.32702666059427155,0.01527317912242887,0.5523281529437752,0.40252224483233723,0.7154340506005723,0.9745601307900065,0.8742451478926404,0.62,300,-0.02852089547566594,0.59612222754187,0.14213589004655283,0.23003509437541494,1.4716312056737593,0.09999999999999999,,0.224358967443717,0.2675669535741487,-0.2983773732335281,,10,,,,
